domain_id,ranking,domain,screenshot,ignored,domain_id,start_time,end_time,duration,exception
1,1,google.com,screenshots/google-com.png,0,1,1702484076.07121,1702484086.80824,10.7370271682739,
2,2,amazonaws.com,,0,2,1702484086.80888,1702484087.15537,0.346487045288086,neterror
3,3,facebook.com,screenshots/facebook-com.png,0,3,1702484087.15585,1702484093.75354,6.59769010543823,
4,4,microsoft.com,screenshots/microsoft-com.png,0,4,1702484093.75436,1702484100.73947,6.98510789871216,
5,5,apple.com,screenshots/apple-com.png,0,5,1702484100.73993,1702484111.04512,10.3051872253418,
6,6,googleapis.com,screenshots/googleapis-com.png,1,6,1702484111.04545,1702484115.61134,4.56589698791504,404
7,7,youtube.com,screenshots/youtube-com.png,0,7,1702484115.61244,1702484123.64893,8.03648519515991,
8,8,akamaiedge.net,,0,8,1702484123.64935,1702484124.26157,0.612221956253052,neterror
9,9,a-msedge.net,,0,9,1702484124.26209,1702484124.39663,0.134541988372803,neterror
10,10,akamai.net,,0,10,1702484124.39711,1702484124.52563,0.128519058227539,neterror
11,11,twitter.com,screenshots/twitter-com.png,0,11,1702484124.52612,1702484131.42065,6.89452910423279,
12,12,gtld-servers.net,,0,12,1702484131.42116,1702484131.55371,0.132546186447144,neterror
13,13,googlevideo.com,screenshots/googlevideo-com.png,0,13,1702484131.55584,1702484137.21543,5.65959095954895,
14,14,instagram.com,screenshots/instagram-com.png,0,14,1702484137.21583,1702484143.31446,6.09862995147705,
15,15,azure.com,screenshots/azure-com.png,0,15,1702484143.31494,1702484151.41145,8.09651398658752,
16,16,gstatic.com,screenshots/gstatic-com.png,1,16,1702484151.41195,1702484155.63686,4.22491097450256,404
17,17,cloudflare.com,screenshots/cloudflare-com.png,0,17,1702484155.63731,1702484161.13933,5.50201797485352,
18,18,doubleclick.net,screenshots/doubleclick-net.png,1,18,1702484075.86315,1702484084.34822,8.48507285118103,ublock
19,19,linkedin.com,screenshots/linkedin-com.png,0,19,1702484084.34891,1702484090.23098,5.88207197189331,
20,20,live.com,screenshots/live-com.png,0,20,1702484090.23154,1702484098.11158,7.88003396987915,
21,21,tiktokcdn.com,,0,21,1702484098.11199,1702484098.2811,0.169104814529419,neterror
22,22,office.com,screenshots/office-com.png,0,22,1702484098.28157,1702484104.90422,6.62264895439148,
23,23,netflix.com,screenshots/netflix-com.png,0,23,1702484104.90691,1702484112.86065,7.95374798774719,
24,24,googletagmanager.com,screenshots/googletagmanager-com.png,1,24,1702484112.86193,1702484116.99929,4.13736009597778,ublock
25,25,akadns.net,,0,25,1702484116.99999,1702484117.13811,0.138118743896484,neterror
26,26,apple-dns.net,,0,26,1702484117.13861,1702484117.25578,0.117178916931152,neterror
27,27,amazon.com,screenshots/amazon-com.png,0,27,1702484117.25626,1702484124.65561,7.39934992790222,
28,28,domaincontrol.com,,0,28,1702484124.65619,1702484124.76653,0.110343933105469,neterror
29,29,windowsupdate.com,,0,29,1702484124.76697,1702484124.89185,0.124872922897339,neterror
30,30,trafficmanager.net,,0,30,1702484124.89256,1702484125.23112,0.33856201171875,neterror
31,31,googleusercontent.com,,0,31,1702484125.23163,1702484125.53003,0.29839301109314,neterror
32,32,fbcdn.net,screenshots/fbcdn-net.png,0,32,1702484125.53055,1702484131.67121,6.14065909385681,
33,33,wikipedia.org,screenshots/wikipedia-org.png,0,33,1702484131.67167,1702484137.04269,5.37101984024048,
34,34,icloud.com,screenshots/icloud-com.png,0,34,1702484137.04313,1702484142.73752,5.69439268112183,
35,35,bing.com,screenshots/bing-com.png,0,35,1702484076.20113,1702484086.11311,9.91198015213013,
36,36,fastly.net,screenshots/fastly-net.png,0,36,1702484086.11431,1702484092.25236,6.13804888725281,
37,37,microsoftonline.com,,0,37,1702484092.25303,1702484092.70562,0.452585935592651,neterror
38,38,root-servers.net,,0,38,1702484092.70605,1702484092.91925,0.213202953338623,neterror
39,39,wordpress.org,screenshots/wordpress-org.png,0,39,1702484092.91988,1702484099.02344,6.10355997085571,
40,40,digicert.com,screenshots/digicert-com.png,0,40,1702484099.02391,1702484122.30057,23.2766647338867,
41,41,mail.ru,screenshots/mail-ru.png,0,41,1702484122.30112,1702484130.28083,7.97970509529114,
42,42,yahoo.com,screenshots/yahoo-com.png,0,42,1702484130.28133,1702484136.67136,6.39003491401672,
43,43,youtu.be,screenshots/youtu-be.png,0,43,1702484136.67183,1702484143.44448,6.77264881134033,
44,44,pinterest.com,screenshots/pinterest-com.png,0,44,1702484143.44502,1702484149.03718,5.59216785430908,
45,45,aaplimg.com,,0,45,1702484149.03775,1702484149.12248,0.0847339630126953,neterror
46,46,github.com,screenshots/github-com.png,0,46,1702484149.12301,1702484154.72023,5.59722018241882,
47,47,ui.com,screenshots/ui-com.png,0,47,1702484154.72068,1702484160.27385,5.55316805839539,
48,48,googlesyndication.com,screenshots/googlesyndication-com.png,1,48,1702484160.27422,1702484164.33637,4.06214499473572,ublock
49,49,l-msedge.net,,0,49,1702484164.33681,1702484164.39971,0.0629062652587891,neterror
50,50,tiktokv.com,screenshots/tiktokv-com.png,1,50,1702484164.40034,1702484168.68776,4.28742289543152,404
51,51,windows.net,screenshots/windows-net.png,0,51,1702484168.6893,1702484177.24715,8.55784606933594,
52,52,adobe.com,screenshots/adobe-com.png,0,52,1702484076.1149,1702484086.59815,10.4832439422607,
53,53,google-analytics.com,screenshots/google-analytics-com.png,1,53,1702484086.59875,1702484090.73846,4.13971042633057,ublock
54,54,goo.gl,screenshots/goo-gl.png,0,54,1702484090.73921,1702484097.11804,6.37883377075195,
55,55,nflxso.net,,0,55,1702484097.11856,1702484097.27264,0.154088020324707,neterror
