rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,microsoft.com,Information Technology;Business
7,tiktokcdn.com,Content Servers;Social Networks
8,amazonaws.com,Technology
9,googlevideo.com,Search Engines;Video Streaming
10,doubleclick.net,Advertisements
11,apple-dns.net,Content Servers
12,root-servers.net,Information Technology;Technology
13,ui.com,Technology
14,akadns.net,Content Servers
15,icloud.com,File Sharing
16,fbcdn.net,Social Networks
17,youtube.com,Video Streaming
18,tiktokv.com,Social Networks;Video Streaming
19,amazon.com,Ecommerce
20,akamai.net,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,akamaiedge.net,Content Servers
23,googleusercontent.com,Content Servers
24,instagram.com,Photography;Social Networks
25,gvt2.com,Content Servers
26,cloudflare-dns.com,Content Servers
27,whatsapp.net,Instant Messengers;Internet Phone & VOIP
28,netflix.com,Video Streaming
29,cloudfront.net,Content Servers;Science;Technology
30,ntp.org,Technology
31,live.com,Technology;Webmail
32,office.com,Technology
33,bing.com,Search Engines
34,spotify.com,Audio Streaming
35,aaplimg.com,Information Technology;Content Servers;Technology
36,cloudflare.com,Technology
37,app-measurement.com,Content Servers
38,one.one,Information Technology
39,ytimg.com,Content Servers
40,yahoo.com,News & Media
41,snapchat.com,Social Networks
42,ttlivecdn.com,Content Servers
43,trafficmanager.net,Content Servers
44,google-analytics.com,Business;Technology
45,bytefcdn-oversea.com,
46,azure.com,Technology
47,msftncsi.com,Content Servers
48,cdn77.org,Content Servers
49,amazon-adsystem.com,Advertisements
50,msn.com,News & Media
51,fastly.net,Information Security;Information Technology;Technology
52,criteo.com,Business
53,cdninstagram.com,Content Servers
54,gvt1.com,Content Servers
55,twitter.com,Social Networks
56,office365.com,Technology
57,digicert.com,Information Security
58,facebook-hardware.com,Content Servers
59,rubiconproject.com,Advertisements
60,tiktokcdn-us.com,Content Servers
61,pki.goog,Information Security
62,googletagmanager.com,Content Servers
63,dns.google,Information Technology
64,adnxs.com,Content Servers
65,microsoftonline.com,Technology
66,office.net,Content Servers
67,roblox.com,Gaming;Safe for Kids
68,ggpht.com,Content Servers
69,skype.com,Instant Messengers;Internet Phone & VOIP
70,applovin.com,Gaming
71,unity3d.com,Gaming;Technology
72,windows.net,Technology
73,windows.com,Information Technology
74,sentry.io,Business
75,googleadservices.com,Advertisements
76,azureedge.net,Content Servers
77,linkedin.com,Professional Networking
78,windowsupdate.com,Information Technology;Business
79,gmail.com,Webmail
80,pubmatic.com,Business;Technology
81,taboola.com,Business;Advertisements
82,bytefcdn-ttpeu.com,Content Servers
83,sharepoint.com,File Sharing;Technology
84,casalemedia.com,Advertisements
85,akamaized.net,Content Servers
86,samsung.com,Home & Garden;Technology
87,a-msedge.net,Content Servers
88,mzstatic.com,Information Technology;Technology
89,epicgames.com,Ecommerce;Gaming
90,smartadserver.com,Advertisements
91,2mdn.net,Content Servers
92,appsflyer.com,Business;Technology
93,baidu.com,Search Engines
94,outlook.com,Webmail
95,playstation.net,Gaming
96,lencr.org,Information Technology
97,doubleverify.com,Business;Technology
98,dropbox.com,File Sharing
99,cdn-apple.com,Content Servers
100,appcenter.ms,Technology
