rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,tiktokcdn.com,Content Servers;Social Networks
7,doubleclick.net,Advertisements
8,apple.com,Information Technology;Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,instagram.com,Photography;Social Networks
11,youtube.com,Video Streaming
12,tiktokv.com,Social Networks;Video Streaming
13,gvt2.com,Content Servers
14,googlevideo.com,Search Engines;Video Streaming
15,fbcdn.net,Social Networks
16,googleusercontent.com,Content Servers
17,amazonaws.com,Technology
18,googlesyndication.com,Search Engines;Advertisements
19,akamai.net,Content Servers
20,cloudflare.com,Technology
21,ytimg.com,Content Servers
22,snapchat.com,Social Networks
23,google-analytics.com,Business;Technology
24,akadns.net,Content Servers
25,tiktokcdn-us.com,Content Servers
26,apple-dns.net,Content Servers
27,akamaiedge.net,Content Servers
28,office.com,Technology
29,cloudfront.net,Content Servers;Science;Technology
30,ttlivecdn.com,Content Servers
31,bing.com,Search Engines
32,googletagmanager.com,Content Servers
33,icloud.com,File Sharing
34,app-measurement.com,Content Servers
35,gvt1.com,Content Servers
36,ggpht.com,Content Servers
37,appsflyer.com,Business;Technology
38,googleadservices.com,Advertisements
39,live.com,Technology;Webmail
40,amazon-adsystem.com,Advertisements
41,ntp.org,Technology
42,spotify.com,Audio Streaming
43,aaplimg.com,Information Technology;Content Servers;Technology
44,yahoo.com,News & Media
45,applovin.com,Gaming
46,linkedin.com,Professional Networking
47,cdninstagram.com,Content Servers
48,twitter.com,Social Networks
49,ampproject.org,Information Technology
50,cloudflare-dns.com,Content Servers
51,azureedge.net,Content Servers
52,skype.com,Instant Messengers;Internet Phone & VOIP
53,azure.com,Technology
54,cdn77.org,Content Servers
55,facebook.net,Social Networks
56,whatsapp.com,Instant Messengers;Internet Phone & VOIP
57,yandex.ru,News & Media
58,criteo.com,Business
59,dns.google,Information Technology
60,adnxs.com,Content Servers
61,yandex.net,News & Media
62,pangle.io,Content Servers
63,google.ae,Search Engines
64,office365.com,Technology
65,one.one,Information Technology
66,office.net,Content Servers
67,msn.com,News & Media
68,bytefcdn-oversea.com,
69,googletagservices.com,Content Servers
70,taboola.com,Business;Advertisements
71,qq.com,News & Media
72,appcenter.ms,Technology
73,rubiconproject.com,Advertisements
74,akamaized.net,Content Servers
75,clarity.ms,Content Servers
76,amazon.com,Ecommerce
77,xhcdn.com,Pornography
78,android.com,Technology
79,twimg.com,Content Servers
80,gmail.com,Webmail
81,trafficmanager.net,Content Servers
82,netflix.com,Video Streaming
83,pubmatic.com,Business;Technology
84,xnxx-cdn.com,Pornography
85,microsoftonline.com,Technology
86,fastly.net,Information Security;Information Technology;Technology
87,vungle.com,Business;Technology
88,unity3d.com,Gaming;Technology
89,crashlytics.com,Information Technology
90,sc-cdn.net,Content Servers
91,tsyndicate.com,Content Servers
92,lencr.org,Information Technology
93,grammarly.com,Information Technology
94,pki.goog,Information Security
95,jsdelivr.net,Content Servers
96,digicert.com,Information Security
97,byteoversea.com,Content Servers
98,strpst.com,Content Servers
99,roblox.com,Gaming;Safe for Kids
100,outlook.com,Webmail
