rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,youtube.com,Video Streaming
8,gvt2.com,Content Servers
9,googlesyndication.com,Search Engines;Advertisements
10,googlevideo.com,Search Engines;Video Streaming
11,apple.com,Information Technology;Technology
12,googleusercontent.com,Content Servers
13,fbcdn.net,Social Networks
14,tiktokcdn.com,Content Servers;Social Networks
15,live.com,Technology;Webmail
16,amazonaws.com,Technology
17,google-analytics.com,Business;Technology
18,cloudflare.com,Technology
19,bing.com,Search Engines
20,ytimg.com,Content Servers
21,viber.com,Instant Messengers;Internet Phone & VOIP
22,instagram.com,Photography;Social Networks
23,spotify.com,Audio Streaming
24,tiktokv.com,Social Networks;Video Streaming
25,msn.com,News & Media
26,akadns.net,Content Servers
27,office.com,Technology
28,cloudflare-dns.com,Content Servers
29,amazon-adsystem.com,Advertisements
30,google.bg,Search Engines
31,akamai.net,Content Servers
32,akamaiedge.net,Content Servers
33,skype.com,Instant Messengers;Internet Phone & VOIP
34,googletagmanager.com,Content Servers
35,criteo.com,Business
36,ntp.org,Technology
37,cloudfront.net,Content Servers;Science;Technology
38,googleadservices.com,Advertisements
39,apple-dns.net,Content Servers
40,windowsupdate.com,Information Technology;Business
41,lencr.org,Information Technology
42,icloud.com,File Sharing
43,yahoo.com,News & Media
44,netflix.com,Video Streaming
45,ggpht.com,Content Servers
46,adnxs.com,Content Servers
47,amazon.com,Ecommerce
48,smartadserver.com,Advertisements
49,rubiconproject.com,Advertisements
50,office.net,Content Servers
51,app-measurement.com,Content Servers
52,mozilla.com,Information Technology
53,msedge.net,Content Servers
54,ttlivecdn.com,Content Servers
55,azure.com,Technology
56,abv.bg,Webmail
57,facebook.net,Social Networks
58,aaplimg.com,Information Technology;Content Servers;Technology
59,casalemedia.com,Advertisements
60,msftncsi.com,Content Servers
61,windows.com,Information Technology
62,akamaized.net,Content Servers
63,linkedin.com,Professional Networking
64,adform.net,Content Servers
65,whatsapp.net,Instant Messengers;Internet Phone & VOIP
66,googletagservices.com,Content Servers
67,pubmatic.com,Business;Technology
68,criteo.net,Business
69,gvt1.com,Content Servers
70,cdn77.org,Content Servers
71,epicgames.com,Ecommerce;Gaming
72,snapchat.com,Social Networks
73,twitter.com,Social Networks
74,opera.com,Technology
75,one.one,Information Technology
76,discord.com,Instant Messengers;Internet Phone & VOIP
77,creativecdn.com,Content Servers
78,microsoftonline.com,Technology
79,fastly.net,Information Security;Information Technology;Technology
80,openx.net,Advertisements
81,clarity.ms,Content Servers
82,azureedge.net,Content Servers
83,avast.com,Technology
84,avcdn.net,Content Servers
85,trafficmanager.net,Content Servers
86,taboola.com,Business;Advertisements
87,dns.google,Information Technology
88,msftconnecttest.com,Content Servers
89,cdninstagram.com,Content Servers
90,bytefcdn-oversea.com,
91,mixpanel.com,Business
92,jsdelivr.net,Content Servers
93,gemius.pl,Business;Technology
94,onesignal.com,Business;Technology
95,roblox.com,Gaming;Safe for Kids
96,office365.com,Technology
97,hotjar.com,Business;Technology
98,pki.goog,Information Security
99,digicert.com,Information Security
100,reddit.com,Forums
