rank,domain,categories
1,qq.com,News & Media
2,douyincdn.com,Content Servers
3,microsoft.com,Information Technology;Business
4,baidu.com,Search Engines
5,apple.com,Information Technology;Technology
6,google.com,Search Engines
7,googleapis.com,Content Servers;Webmail
8,yximgs.com,Content Servers
9,bilibili.com,Video Streaming
10,taobao.com,Ecommerce
11,vivo.com.cn,Technology
12,alicdn.com,Content Servers
13,tencent-cloud.net,
14,douyinliving.com,
15,dbankcloud.cn,Technology
16,amap.com,Education
17,zijieapi.com,Content Servers
18,amemv.com,Information Technology
19,ntp.org,Technology
20,douyinvod.com,Content Servers
21,gstatic.com,Content Servers
22,sogou.com,Search Engines
23,douyinpic.com,Content Servers
24,googlevideo.com,Search Engines;Video Streaming
25,xiaomi.com,Technology
26,360.cn,Technology
27,miui.com,Technology
28,hdslb.com,Content Servers
29,kwimgs.com,Information Technology
30,meituan.net,Search Engines
31,pstatp.com,Content Servers
32,aliyuncs.com,Content Servers
33,qpic.cn,Content Servers
34,163.com,News & Media
35,sinaimg.cn,Content Servers
36,jd.com,Ecommerce
37,heytapmobi.com,Technology
38,snssdk.com,Information Technology;News & Media
39,qq.com.cn,News & Media;Search Engines
40,facebook.com,Social Networks
41,icloud.com,File Sharing
42,bilivideo.com,Content Servers
43,bdstatic.com,Search Engines
44,hicloud.com,File Sharing
45,quark.cn,Information Technology
46,ixigua.com,Video Streaming
47,mjt000.com,
48,boom.skin,
49,the-best-airport.com,
50,dbankcloud.com,Technology
51,meituan.com,Ecommerce;News & Media;Search Engines
52,gvt2.com,Content Servers
53,etoote.com,
54,xiaohongshu.com,Video Streaming
55,kwaicdn.com,
56,bcebos.com,Content Servers
57,wps.cn,Technology
58,qlogo.cn,Content Servers
59,tencent.com,Technology
60,biliapi.net,
61,doubleclick.net,Advertisements
62,hsrtd.club,
63,mi.com,Information Technology;Technology
64,cloudflare.com,Technology
65,youtube.com,Video Streaming
66,github.com,Technology
67,icloud.com.cn,Technology
68,ecombdapi.com,
69,tiktokv.com,Social Networks;Video Streaming
70,tiktokcdn.com,Content Servers;Social Networks
71,gtimg.cn,Content Servers
72,live-voip.com,
73,video-voip.com,
74,pinduoduo.com,Shopping
75,uc.cn,Information Technology
76,akadns.net,Content Servers
77,twitter.com,Social Networks
78,apple-dns.net,Content Servers
79,umeng.com,Technology
80,alipay.com,Economy & Finance
81,126.net,Technology
82,bing.com,Search Engines
83,gtimg.com,Content Servers
84,360buyimg.com,Content Servers
85,weibo.com,Social Networks
86,bdurl.net,Content Servers
87,live.com,Technology;Webmail
88,cloudflareclient.com,Content Servers
89,inkuai.com,Information Technology
90,xhscdn.com,Content Servers
91,zhihu.com,Education;Forums
92,bytedance.com,Business
93,aliyun.com,Technology
94,gifshow.com,Information Technology
95,ksapisrv.com,Content Servers
96,xunlei.com,File Sharing;Technology
97,app-measurement.com,Content Servers
98,xycdn.com,Technology
99,byteimg.com,Content Servers
100,sm.cn,Search Engines
