rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,tiktokcdn.com,Content Servers;Social Networks
6,tiktokv.com,Social Networks;Video Streaming
7,microsoft.com,Information Technology;Business
8,nakheelteam.cc,Technology
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,apple.com,Information Technology;Technology
11,fbcdn.net,Social Networks
12,googlevideo.com,Search Engines;Video Streaming
13,doubleclick.net,Advertisements
14,youtube.com,Video Streaming
15,gvt2.com,Content Servers
16,instagram.com,Photography;Social Networks
17,ytimg.com,Content Servers
18,ttlivecdn.com,Content Servers
19,snapchat.com,Social Networks
20,googleusercontent.com,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,tango.me,Chat;Video Streaming
23,akamai.net,Content Servers
24,icloud.com,File Sharing
25,akadns.net,Content Servers
26,apple-dns.net,Content Servers
27,cloudflare-dns.com,Content Servers
28,bing.com,Search Engines
29,ggpht.com,Content Servers
30,akamaiedge.net,Content Servers
31,google-analytics.com,Business;Technology
32,amazon-adsystem.com,Advertisements
33,app-measurement.com,Content Servers
34,dbankcloud.cn,Technology
35,bytefcdn-oversea.com,
36,cdn77.org,Content Servers
37,spotify.com,Audio Streaming
38,cloudfront.net,Content Servers;Science;Technology
39,amazonaws.com,Technology
40,ntp.org,Technology
41,one.one,Information Technology
42,cloudflare.com,Technology
43,msn.com,News & Media
44,google.com.eg,Search Engines
45,gvt1.com,Content Servers
46,netflix.com,Video Streaming
47,live.com,Technology;Webmail
48,aaplimg.com,Information Technology;Content Servers;Technology
49,truecaller.com,Information Technology;Professional Networking
50,kwai.net,File Sharing
51,applovin.com,Gaming
52,office.com,Technology
53,googleadservices.com,Advertisements
54,pangle.io,Content Servers
55,allawnos.com,
56,googletagmanager.com,Content Servers
57,android.com,Technology
58,appsflyer.com,Business;Technology
59,unity3d.com,Gaming;Technology
60,whatsapp.com,Instant Messengers;Internet Phone & VOIP
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,akamaized.net,Content Servers
63,roblox.com,Gaming;Safe for Kids
64,msftncsi.com,Content Servers
65,appcenter.ms,Technology
66,gboxlab.com,Information Technology
67,starcloud.rocks,
68,qq.com,News & Media
69,heytapmobile.com,Content Servers
70,yahoo.com,News & Media
71,dbankcloud.com,Technology
72,bytefcdn-ttpeu.com,Content Servers
73,twitter.com,Social Networks
74,hicloud.com,File Sharing
75,heytapdl.com,Content Servers
76,sc-cdn.net,Content Servers
77,snackvideo.in,
78,dns.google,Information Technology
79,fbsbx.com,Content Servers
80,cdninstagram.com,Content Servers
81,linkedin.com,Professional Networking
82,wshareit.com,Content Servers
83,kwai-pro.com,Content Servers
84,windowsupdate.com,Information Technology;Business
85,partyother.com,
86,vungle.com,Business;Technology
87,pki.goog,Information Security
88,criteo.com,Business
89,xiaomi.com,Technology
90,amazon.com,Ecommerce
91,igamecj.com,Content Servers
92,rbxcdn.com,Content Servers
93,tiktok.com,Social Networks;Video Streaming
94,shalltry.com,Content Servers
95,rubiconproject.com,Advertisements
96,crashlytics.com,Information Technology
97,appsflyersdk.com,Content Servers
98,grammarly.com,Information Technology
99,adnxs.com,Content Servers
100,inmobi.com,Business
