rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,apple.com,Information Technology;Technology
8,gvt2.com,Content Servers
9,tiktokcdn.com,Content Servers;Social Networks
10,googlesyndication.com,Search Engines;Advertisements
11,youtube.com,Video Streaming
12,live.com,Technology;Webmail
13,office.com,Technology
14,spotify.com,Audio Streaming
15,googlevideo.com,Search Engines;Video Streaming
16,whatsapp.net,Instant Messengers;Internet Phone & VOIP
17,bing.com,Search Engines
18,googleusercontent.com,Content Servers
19,amazonaws.com,Technology
20,msn.com,News & Media
21,cloudfront.net,Content Servers;Science;Technology
22,tiktokv.com,Social Networks;Video Streaming
23,instagram.com,Photography;Social Networks
24,google-analytics.com,Business;Technology
25,amazon-adsystem.com,Advertisements
26,amazon.com,Ecommerce
27,akamaiedge.net,Content Servers
28,netflix.com,Video Streaming
29,akamai.net,Content Servers
30,cloudflare-dns.com,Content Servers
31,akadns.net,Content Servers
32,ytimg.com,Content Servers
33,ntp.org,Technology
34,google.es,Search Engines
35,icloud.com,File Sharing
36,office.net,Content Servers
37,apple-dns.net,Content Servers
38,adnxs.com,Content Servers
39,rubiconproject.com,Advertisements
40,smartadserver.com,Advertisements
41,criteo.com,Business
42,cloudflare.com,Technology
43,yahoo.com,News & Media
44,googletagmanager.com,Content Servers
45,taboola.com,Business;Advertisements
46,fbcdn.net,Social Networks
47,googleadservices.com,Advertisements
48,office365.com,Technology
49,amazon.es,Ecommerce
50,pubmatic.com,Business;Technology
51,skype.com,Instant Messengers;Internet Phone & VOIP
52,aaplimg.com,Information Technology;Content Servers;Technology
53,windowsupdate.com,Information Technology;Business
54,sensic.net,Business
55,microsoftonline.com,Technology
56,app-measurement.com,Content Servers
57,ttlivecdn.com,Content Servers
58,azure.com,Technology
59,lencr.org,Information Technology
60,windows.com,Information Technology
61,scorecardresearch.com,Business
62,akamaized.net,Content Servers
63,casalemedia.com,Advertisements
64,cdn77.org,Content Servers
65,msftncsi.com,Content Servers
66,epicgames.com,Ecommerce;Gaming
67,dropbox.com,File Sharing
68,ggpht.com,Content Servers
69,one.one,Information Technology
70,a2z.com,Content Servers
71,twitter.com,Social Networks
72,ui.com,Technology
73,fastly.net,Information Security;Information Technology;Technology
74,adsafeprotected.com,Advertisements
75,richaudience.com,Business
76,outlook.com,Webmail
77,gvt1.com,Content Servers
78,bytefcdn-oversea.com,
79,linkedin.com,Professional Networking
80,amazonalexa.com,Content Servers
81,ampproject.org,Information Technology
82,adform.net,Content Servers
83,2mdn.net,Content Servers
84,trafficmanager.net,Content Servers
85,dns.google,Information Technology
86,sharepoint.com,File Sharing;Technology
87,ttvnw.net,Video Streaming
88,windows.net,Technology
89,bidswitch.net,Technology
90,openx.net,Advertisements
91,msedge.net,Content Servers
92,demdex.net,Technology
93,gmail.com,Webmail
94,mozilla.com,Information Technology
95,azureedge.net,Content Servers
96,twitch.tv,Entertainment;Gaming;Video Streaming
97,sharethrough.com,Business
98,avcdn.net,Content Servers
99,googletagservices.com,Content Servers
100,digicert.com,Information Security
