rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,gvt2.com,Content Servers
7,microsoft.com,Information Technology;Business
8,doubleclick.net,Advertisements
9,googlevideo.com,Search Engines;Video Streaming
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,youtube.com,Video Streaming
12,instagram.com,Photography;Social Networks
13,googlesyndication.com,Search Engines;Advertisements
14,tiktokv.com,Social Networks;Video Streaming
15,googleusercontent.com,Content Servers
16,akamai.net,Content Servers
17,ytimg.com,Content Servers
18,ttlivecdn.com,Content Servers
19,shopee.co.id,Ecommerce
20,apple.com,Information Technology;Technology
21,fbcdn.net,Social Networks
22,google-analytics.com,Business;Technology
23,bing.com,Search Engines
24,spotify.com,Audio Streaming
25,cdn77.org,Content Servers
26,cloudflare.com,Technology
27,whatsapp.com,Instant Messengers;Internet Phone & VOIP
28,amazonaws.com,Technology
29,msn.com,News & Media
30,vivoglobal.com,Technology
31,ggpht.com,Content Servers
32,akamaiedge.net,Content Servers
33,google.co.id,Search Engines
34,ntp.org,Technology
35,bytefcdn-oversea.com,
36,googletagmanager.com,Content Servers
37,snackvideo.in,
38,cloudfront.net,Content Servers;Science;Technology
39,googleadservices.com,Advertisements
40,akadns.net,Content Servers
41,live.com,Technology;Webmail
42,ibyteimg.com,Content Servers
43,gvt1.com,Content Servers
44,cloudflare-dns.com,Content Servers
45,amazon-adsystem.com,Advertisements
46,ampproject.org,Information Technology
47,heytapdl.com,Content Servers
48,rubiconproject.com,Advertisements
49,byteoversea.com,Content Servers
50,yahoo.com,News & Media
51,pubmatic.com,Business;Technology
52,appsflyer.com,Business;Technology
53,akamaized.net,Content Servers
54,heytapmobile.com,Content Servers
55,applovin.com,Gaming
56,adnxs.com,Content Servers
57,pangle.io,Content Servers
58,apple-dns.net,Content Servers
59,xiaomi.com,Technology
60,office.com,Technology
61,android.com,Technology
62,bytefcdn-ttpeu.com,Content Servers
63,app-measurement.com,Content Servers
64,shopeemobile.com,Ecommerce
65,twitter.com,Social Networks
66,criteo.com,Business
67,go.id,
68,susercontent.com,No Content
69,mgid.com,Business
70,facebook.net,Social Networks
71,netflix.com,Video Streaming
72,xnxx-cdn.com,Pornography
73,kwai-pro.com,Content Servers
74,cdninstagram.com,Content Servers
75,linkedin.com,Professional Networking
76,dns.google,Information Technology
77,openx.net,Advertisements
78,unity3d.com,Gaming;Technology
79,smartadserver.com,Advertisements
80,icloud.com,File Sharing
81,allawnos.com,
82,tokopedia.com,Ecommerce
83,wsdvs.com,Content Servers
84,jsdelivr.net,Content Servers
85,rocket-cdn.com,Content Servers
86,skype.com,Instant Messengers;Internet Phone & VOIP
87,trafficmanager.net,Content Servers
88,roblox.com,Gaming;Safe for Kids
89,tiktok.com,Social Networks;Video Streaming
90,wshareit.com,Content Servers
91,miui.com,Technology
92,aaplimg.com,Information Technology;Content Servers;Technology
93,isnssdk.com,Content Servers
94,shalltry.com,Content Servers
95,kwai.net,File Sharing
96,canva.com,Hobbies & Interests
97,googletagservices.com,Content Servers
98,office.net,Content Servers
99,disqus.com,Business;Technology
100,mtgglobals.com,Content Servers
