rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,gvt2.com,Content Servers
5,microsoft.com,Information Technology;Business
6,doubleclick.net,Advertisements
7,facebook.com,Social Networks
8,youtube.com,Video Streaming
9,googlesyndication.com,Search Engines;Advertisements
10,googlevideo.com,Search Engines;Video Streaming
11,instagram.com,Photography;Social Networks
12,nakheelteam.cc,Technology
13,googleusercontent.com,Content Servers
14,cloudflare.com,Technology
15,google-analytics.com,Business;Technology
16,whatsapp.net,Instant Messengers;Internet Phone & VOIP
17,ytimg.com,Content Servers
18,bing.com,Search Engines
19,google.co.in,Search Engines
20,googletagmanager.com,Content Servers
21,fbcdn.net,Social Networks
22,apple.com,Information Technology;Technology
23,live.com,Technology;Webmail
24,ampproject.org,Information Technology
25,amazonaws.com,Technology
26,msn.com,News & Media
27,cloudflare-dns.com,Content Servers
28,amazon-adsystem.com,Advertisements
29,cloudfront.net,Content Servers;Science;Technology
30,office.com,Technology
31,googleadservices.com,Advertisements
32,ggpht.com,Content Servers
33,criteo.com,Business
34,gvt1.com,Content Servers
35,spotify.com,Audio Streaming
36,yahoo.com,News & Media
37,amazon.com,Ecommerce
38,rubiconproject.com,Advertisements
39,snapchat.com,Social Networks
40,xhcdn.com,Pornography
41,linkedin.com,Professional Networking
42,jiocinema.com,Movies;Television
43,pubmatic.com,Business;Technology
44,amazon.in,Ecommerce
45,akamaized.net,Content Servers
46,akamaiedge.net,Content Servers
47,taboola.com,Business;Advertisements
48,office.net,Content Servers
49,akadns.net,Content Servers
50,adnxs.com,Content Servers
51,voot.com,Shopping;Television
52,skype.com,Instant Messengers;Internet Phone & VOIP
53,tsyndicate.com,Content Servers
54,grammarly.com,Information Technology
55,brave.com,Information Technology
56,akamai.net,Content Servers
57,clarity.ms,Content Servers
58,apple-dns.net,Content Servers
59,whatsapp.com,Instant Messengers;Internet Phone & VOIP
60,netflix.com,Video Streaming
61,clevertap-prod.com,Content Servers
62,ntp.org,Technology
63,facebook.net,Social Networks
64,microsoftonline.com,Technology
65,grammarly.io,Information Technology;Content Servers
66,googletagservices.com,Content Servers
67,cdninstagram.com,Content Servers
68,windows.com,Information Technology
69,icloud.com,File Sharing
70,dns.google,Information Technology
71,smartadserver.com,Advertisements
72,twitter.com,Social Networks
73,googlezip.net,
74,windowsupdate.com,Information Technology;Business
75,openx.net,Advertisements
76,jsdelivr.net,Content Servers
77,app-measurement.com,Content Servers
78,msftncsi.com,Content Servers
79,appsflyer.com,Business;Technology
80,scorecardresearch.com,Business
81,msftconnecttest.com,Content Servers
82,bidswitch.net,Technology
83,truecaller.com,Information Technology;Professional Networking
84,aaplimg.com,Information Technology;Content Servers;Technology
85,android.com,Technology
86,azure.com,Technology
87,strpst.com,Content Servers
88,vivoglobal.com,Technology
89,media-amazon.com,Content Servers
90,lencr.org,Information Technology
91,casalemedia.com,Advertisements
92,office365.com,Technology
93,3gppnetwork.org,Content Servers
95,azureedge.net,Content Servers
96,xnxx-cdn.com,Pornography
97,allawnos.com,
98,applovin.com,Gaming
99,msedge.net,Content Servers
100,slack.com,Instant Messengers
