rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,googlevideo.com,Search Engines;Video Streaming
8,doubleclick.net,Advertisements
9,youtube.com,Video Streaming
10,icloud.com,File Sharing
11,googlesyndication.com,Search Engines;Advertisements
12,apple-dns.net,Content Servers
13,akadns.net,Content Servers
14,akamaiedge.net,Content Servers
15,gvt2.com,Content Servers
16,yahoo.co.jp,News & Media
17,amazonaws.com,Technology
18,tiktokcdn.com,Content Servers;Social Networks
19,akamai.net,Content Servers
20,bing.com,Search Engines
21,googleusercontent.com,Content Servers
22,yimg.jp,Content Servers
23,one.one,Information Technology
24,app-measurement.com,Content Servers
25,cloudflare-dns.com,Content Servers
26,aaplimg.com,Information Technology;Content Servers;Technology
27,twitter.com,Social Networks
28,ytimg.com,Content Servers
29,cloudfront.net,Content Servers;Science;Technology
30,criteo.com,Business
31,office.com,Technology
32,google.co.jp,Search Engines
33,live.com,Technology;Webmail
34,google-analytics.com,Business;Technology
35,amazon.com,Ecommerce
36,tiktokv.com,Social Networks;Video Streaming
37,amazon-adsystem.com,Advertisements
38,msn.com,News & Media
39,amazon.co.jp,Ecommerce
40,yahooapis.jp,Content Servers
41,ne.jp,Information Technology
42,instagram.com,Photography;Social Networks
43,ggpht.com,Content Servers
44,googletagmanager.com,Content Servers
45,twimg.com,Content Servers
46,rubiconproject.com,Advertisements
47,im-apps.net,Content Servers
48,cloudflare.com,Technology
49,spotify.com,Audio Streaming
50,adnxs.com,Content Servers
51,pki.goog,Information Security
52,cdn77.org,Content Servers
53,azure.com,Technology
54,line-apps.com,Content Servers
55,slack.com,Instant Messengers
56,rakuten.co.jp,Ecommerce
57,tiktokcdn-us.com,Content Servers
58,line-scdn.net,Content Servers
59,netflix.com,Video Streaming
60,googleadservices.com,Advertisements
61,playstation.net,Gaming
62,pubmatic.com,Business;Technology
63,fbcdn.net,Social Networks
64,akamaized.net,Content Servers
65,bytefcdn-oversea.com,
66,trendmicro.com,Information Security
67,yahoo.com,News & Media
68,criteo.net,Business
69,epicgames.com,Ecommerce;Gaming
70,clarity.ms,Content Servers
71,line.me,Instant Messengers;Internet Phone & VOIP
72,office.net,Content Servers
73,windowsupdate.com,Information Technology;Business
74,socdm.com,Content Servers
75,trafficmanager.net,Content Servers
76,naver.jp,
77,skype.com,Instant Messengers;Internet Phone & VOIP
78,nintendo.net,Content Servers
79,microsoftonline.com,Technology
80,digicert.com,Information Security
81,fastly.net,Information Security;Information Technology;Technology
82,gmail.com,Webmail
83,office365.com,Technology
84,lencr.org,Information Technology
85,msftncsi.com,Content Servers
86,cdn-apple.com,Content Servers
87,adingo.jp,Business
88,ntp.org,Technology
89,applovin.com,Gaming
90,windows.com,Information Technology
91,a2z.com,Content Servers
92,mzstatic.com,Information Technology;Technology
93,ttlivecdn.com,Content Servers
94,t.co,Redirect;Social Networks
95,media-amazon.com,Content Servers
96,safebrowsing.apple,Content Servers
97,unity3d.com,Gaming;Technology
98,nr-data.net,Content Servers
99,casalemedia.com,Advertisements
100,googletagservices.com,Content Servers
