rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,naver.com,News & Media
4,gstatic.com,Content Servers
5,microsoft.com,Information Technology;Business
6,apple.com,Information Technology;Technology
7,googlevideo.com,Search Engines;Video Streaming
8,facebook.com,Social Networks
9,pstatic.net,News & Media
10,doubleclick.net,Advertisements
11,youtube.com,Video Streaming
12,gvt2.com,Content Servers
13,kakao.com,Instant Messengers
14,googlesyndication.com,Search Engines;Advertisements
15,daum.net,News & Media;Video Streaming
16,akadns.net,Content Servers
17,google-analytics.com,Business;Technology
18,ytimg.com,Content Servers
19,bing.com,Search Engines
20,daumcdn.net,Search Engines
21,icloud.com,File Sharing
22,tiktokcdn.com,Content Servers;Social Networks
23,apple-dns.net,Content Servers
24,google.co.kr,Search Engines
25,criteo.com,Business
26,instagram.com,Photography;Social Networks
27,googleusercontent.com,Content Servers
28,ahnlab.com,Content Servers
29,one.one,Information Technology
30,googletagmanager.com,Content Servers
31,akamaiedge.net,Content Servers
32,cloudflare.com,Technology
33,akamai.net,Content Servers
34,ggpht.com,Content Servers
35,kakaocdn.net,Content Servers
36,msn.com,News & Media
37,amazonaws.com,Technology
38,kgslb.com,Content Servers
39,cloudflare-dns.com,Content Servers
40,aaplimg.com,Information Technology;Content Servers;Technology
41,coupangcdn.com,Content Servers
42,app-measurement.com,Content Servers
43,nexon.com,Gaming
44,tiktokv.com,Social Networks;Video Streaming
45,adnxs.com,Content Servers
46,googleadservices.com,Advertisements
47,live.com,Technology;Webmail
48,appier.net,Business
49,coupang.com,Ecommerce
50,cloudfront.net,Content Servers;Science;Technology
51,criteo.net,Business
52,fbcdn.net,Social Networks
53,pubmatic.com,Business;Technology
54,twitter.com,Social Networks
55,afreecatv.com,Video Streaming
56,amazon-adsystem.com,Advertisements
57,nheos.com,Content Servers
58,tiktokcdn-us.com,Content Servers
59,navercorp.com,News & Media
60,fmkorea.com,Forums
61,taboola.com,Business;Advertisements
62,yahoo.com,News & Media
63,dcinside.com,Forums;News & Media
64,smartadserver.com,Advertisements
65,rubiconproject.com,Advertisements
66,discord.com,Instant Messengers;Internet Phone & VOIP
67,netflix.com,Video Streaming
68,office.com,Technology
69,tynt.com,Business
70,bidswitch.net,Technology
71,pki.goog,Information Security
72,cdn77.org,Content Servers
73,lijit.com,Business
74,jsdelivr.net,Content Servers
75,akamaized.net,Content Servers
76,appsflyer.com,Business;Technology
77,toast.com,Technology
78,skype.com,Instant Messengers;Internet Phone & VOIP
79,naver.net,News & Media
80,toss.im,Economy & Finance
81,ttlivecdn.com,Content Servers
82,riotgames.com,Gaming
83,casalemedia.com,Advertisements
84,spotify.com,Audio Streaming
85,digicert.com,Information Security
86,windowsupdate.com,Information Technology;Business
87,liadm.com,Content Servers
88,s-onetag.com,Content Servers
89,twimg.com,Content Servers
90,clarity.ms,Content Servers
91,bytefcdn-oversea.com,
92,openx.net,Advertisements
93,cdninstagram.com,Content Servers
94,windows.com,Information Technology
95,roblox.com,Gaming;Safe for Kids
96,ttvnw.net,Video Streaming
97,lencr.org,Information Technology
98,googletagservices.com,Content Servers
99,dable.io,Business;Technology
100,twitch.tv,Entertainment;Gaming;Video Streaming
