rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,fbcdn.net,Social Networks
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,tiktokv.com,Social Networks;Video Streaming
10,doubleclick.net,Advertisements
11,gvt2.com,Content Servers
12,snapchat.com,Social Networks
13,googlevideo.com,Search Engines;Video Streaming
14,akamai.net,Content Servers
15,apple.com,Information Technology;Technology
16,youtube.com,Video Streaming
17,instagram.com,Photography;Social Networks
18,googleusercontent.com,Content Servers
19,shalltry.com,Content Servers
20,ytimg.com,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,google-analytics.com,Business;Technology
23,cdn77.org,Content Servers
24,yahoo.com,News & Media
25,gvt1.com,Content Servers
26,ttlivecdn.com,Content Servers
27,bing.com,Search Engines
28,akamaiedge.net,Content Servers
29,bytefcdn-oversea.com,
30,cloudfront.net,Content Servers;Science;Technology
31,amazonaws.com,Technology
32,applovin.com,Gaming
33,amazon-adsystem.com,Advertisements
34,app-measurement.com,Content Servers
35,live.com,Technology;Webmail
36,akadns.net,Content Servers
37,cloudflare.com,Technology
38,xnxx-cdn.com,Pornography
39,googletagmanager.com,Content Servers
40,msn.com,News & Media
41,apple-dns.net,Content Servers
42,palmplaystore.com,Information Technology
43,taboola.com,Business;Advertisements
44,kaspersky.com,Technology
45,office.com,Technology
46,google.ne,Search Engines
47,appsflyer.com,Business;Technology
48,dns.google,Information Technology
49,sc-cdn.net,Content Servers
50,icloud.com,File Sharing
51,skype.com,Instant Messengers;Internet Phone & VOIP
52,criteo.com,Business
53,twitter.com,Social Networks
54,ggpht.com,Content Servers
55,whatsapp.com,Instant Messengers;Internet Phone & VOIP
56,pushpong.net,Content Servers
57,onesignal.com,Business;Technology
58,office.net,Content Servers
59,pushimg.com,Content Servers
60,opera.com,Technology
61,jagnoans.com,
62,googleadservices.com,Advertisements
63,bangcdn.net,Content Servers
64,googletagservices.com,Content Servers
65,lalapush.com,Content Servers
66,got-to-be.net,Parked & For Sale Domains
67,bytefcdn-ttpeu.com,Content Servers
68,hisavana.com,
69,ahagamecenter.com,Gaming
70,akamaized.net,Content Servers
71,pangle.io,Content Servers
72,aaplimg.com,Information Technology;Content Servers;Technology
73,outbrain.com,Business;Advertisements
74,pepepush.net,Content Servers
75,supapush.net,Content Servers
76,coogoanu.net,
77,g0-g3t-som3.com,
78,rubiconproject.com,Advertisements
79,pubmatic.com,Business;Technology
80,omnatuor.com,Malware
81,xvideos-cdn.com,Pornography
82,inmobi.com,Business
83,adnxs.com,Content Servers
84,linkedin.com,Professional Networking
85,smartadserver.com,Advertisements
86,tubecup.net,Pornography
87,fastly.net,Information Security;Information Technology;Technology
88,l-frii.com,Personal Blogs
89,vungle.com,Business;Technology
90,kaspersky-labs.com,Technology
91,v-mate.mobi,Gaming
92,galepush.net,
93,qq.com,News & Media
94,wattpad.com,Education;Information Technology
95,unity3d.com,Gaming;Technology
96,appcenter.ms,Technology
97,zemanta.com,Business
98,windows.com,Information Technology
99,windowsupdate.com,Information Technology;Business
100,one.one,Information Technology
