rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,instagram.com,Photography;Social Networks
7,gvt2.com,Content Servers
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,palmpay.app,Politics, Advocacy, and Government-Related
10,doubleclick.net,Advertisements
11,cloudflare.com,Technology
12,tiktokcdn.com,Content Servers;Social Networks
13,tiktokv.com,Social Networks;Video Streaming
14,googlesyndication.com,Search Engines;Advertisements
15,youtube.com,Video Streaming
16,apple.com,Information Technology;Technology
17,googlevideo.com,Search Engines;Video Streaming
18,bing.com,Search Engines
19,amazonaws.com,Technology
20,googleusercontent.com,Content Servers
21,fbcdn.net,Social Networks
22,live.com,Technology;Webmail
23,appsflyer.com,Business;Technology
24,msn.com,News & Media
25,office.com,Technology
26,akamai.net,Content Servers
27,akamaiedge.net,Content Servers
28,akadns.net,Content Servers
29,spotify.com,Audio Streaming
30,google.com.ng,Search Engines
31,google-analytics.com,Business;Technology
32,ytimg.com,Content Servers
33,snapchat.com,Social Networks
34,yahoo.com,News & Media
35,apple-dns.net,Content Servers
36,grammarly.com,Information Technology
37,amazon-adsystem.com,Advertisements
38,office.net,Content Servers
39,linkedin.com,Professional Networking
40,cloudfront.net,Content Servers;Science;Technology
41,googletagmanager.com,Content Servers
42,msport.com,Gambling
43,grammarly.io,Information Technology;Content Servers
44,twitter.com,Social Networks
45,cloudflare-dns.com,Content Servers
46,icloud.com,File Sharing
47,aaplimg.com,Information Technology;Content Servers;Technology
48,shalltry.com,Content Servers
49,adnxs.com,Content Servers
50,netflix.com,Video Streaming
51,skype.com,Instant Messengers;Internet Phone & VOIP
52,cdn77.org,Content Servers
53,criteo.com,Business
54,windows.com,Information Technology
55,ttlivecdn.com,Content Servers
56,googleadservices.com,Advertisements
57,akamaized.net,Content Servers
58,rubiconproject.com,Advertisements
59,opera.com,Technology
60,ntp.org,Technology
61,bytefcdn-oversea.com,
62,ggpht.com,Content Servers
63,surfshark.com,Anonymizer
64,azure.com,Technology
65,whatsapp.com,Instant Messengers;Internet Phone & VOIP
66,amazon.com,Ecommerce
67,msftconnecttest.com,Content Servers
68,msftncsi.com,Content Servers
69,pubmatic.com,Business;Technology
70,app-measurement.com,Content Servers
71,gvt1.com,Content Servers
72,cdninstagram.com,Content Servers
73,taboola.com,Business;Advertisements
74,applovin.com,Gaming
75,twimg.com,Content Servers
76,trafficmanager.net,Content Servers
77,clarity.ms,Content Servers
78,one.one,Information Technology
79,microsoftonline.com,Technology
80,windowsupdate.com,Information Technology;Business
81,t.co,Redirect;Social Networks
82,bidswitch.net,Technology
83,office365.com,Technology
84,facebook.net,Social Networks
85,azureedge.net,Content Servers
86,fastly.net,Information Security;Information Technology;Technology
87,casalemedia.com,Advertisements
88,smartadserver.com,Advertisements
89,lencr.org,Information Technology
90,slack.com,Instant Messengers
91,openx.net,Advertisements
92,ui.com,Technology
93,bangcdn.net,Content Servers
94,scorecardresearch.com,Business
95,unity3d.com,Gaming;Technology
96,bitstreamonline.net,
97,dns.google,Information Technology
98,googletagservices.com,Content Servers
99,appsflyersdk.com,Content Servers
100,ampproject.org,Information Technology
