rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,doubleclick.net,Advertisements
7,googlesyndication.com,Search Engines;Advertisements
8,youtube.com,Video Streaming
9,gvt2.com,Content Servers
10,googlevideo.com,Search Engines;Video Streaming
11,live.com,Technology;Webmail
12,apple.com,Information Technology;Technology
13,google-analytics.com,Business;Technology
14,spotify.com,Audio Streaming
15,bing.com,Search Engines
16,googleusercontent.com,Content Servers
17,msn.com,News & Media
18,office.com,Technology
19,google.pl,Search Engines
20,tiktokcdn.com,Content Servers;Social Networks
21,amazonaws.com,Technology
22,fbcdn.net,Social Networks
23,akadns.net,Content Servers
24,akamaiedge.net,Content Servers
25,criteo.com,Business
26,ytimg.com,Content Servers
27,adnxs.com,Content Servers
28,akamai.net,Content Servers
29,amazon-adsystem.com,Advertisements
30,googletagmanager.com,Content Servers
31,rubiconproject.com,Advertisements
32,instagram.com,Photography;Social Networks
33,cloudfront.net,Content Servers;Science;Technology
34,onet.pl,News & Media;News, Portal & Search
35,netflix.com,Video Streaming
36,smartadserver.com,Advertisements
37,cloudflare-dns.com,Content Servers
38,wp.pl,News & Media
39,googleadservices.com,Advertisements
40,tiktokv.com,Social Networks;Video Streaming
41,ntp.org,Technology
42,casalemedia.com,Advertisements
43,apple-dns.net,Content Servers
44,cloudflare.com,Technology
45,gemius.pl,Business;Technology
46,office.net,Content Servers
47,lencr.org,Information Technology
48,pubmatic.com,Business;Technology
49,adform.net,Content Servers
50,skype.com,Instant Messengers;Internet Phone & VOIP
51,windowsupdate.com,Information Technology;Business
52,azure.com,Technology
53,opera.com,Technology
54,yahoo.com,News & Media
55,icloud.com,File Sharing
56,openx.net,Advertisements
57,ggpht.com,Content Servers
58,eset.com,Technology
59,whatsapp.net,Instant Messengers;Internet Phone & VOIP
60,connectad.io,Technology
61,ui.com,Technology
62,microsoftonline.com,Technology
63,creativecdn.com,Content Servers
64,mozilla.com,Information Technology
65,windows.com,Information Technology
66,aaplimg.com,Information Technology;Content Servers;Technology
67,criteo.net,Business
68,akamaized.net,Content Servers
69,msftncsi.com,Content Servers
70,facebook.net,Social Networks
71,trafficmanager.net,Content Servers
72,app-measurement.com,Content Servers
73,clarity.ms,Content Servers
74,office365.com,Technology
75,googletagservices.com,Content Servers
76,2mdn.net,Content Servers
77,allegro.pl,Ecommerce
78,teads.tv,Advertisements
79,amazon.com,Ecommerce
80,pushpushgo.com,Advertisements
81,fastly.net,Information Security;Information Technology;Technology
82,msedge.net,Content Servers
83,sharethrough.com,Business
84,twitter.com,Social Networks
85,mozilla.org,Technology
86,epicgames.com,Ecommerce;Gaming
87,ttlivecdn.com,Content Servers
88,discord.com,Instant Messengers;Internet Phone & VOIP
89,azureedge.net,Content Servers
90,bidswitch.net,Technology
91,cdn77.org,Content Servers
92,snapchat.com,Social Networks
93,gvt1.com,Content Servers
94,digicert.com,Information Security
95,pki.goog,Information Security
96,linkedin.com,Professional Networking
97,ocdn.eu,Content Servers
98,windows.net,Technology
99,one.one,Information Technology
100,interia.pl,News & Media
