rank,domain,categories
1,google.com,Search Engines
2,yandex.net,News & Media
3,yandex.ru,News & Media
4,gstatic.com,Content Servers
5,mail.ru,Webmail
6,googleapis.com,Content Servers;Webmail
7,vk.com,Social Networks
8,microsoft.com,Information Technology;Business
9,userapi.com,Social Networks
10,youtube.com,Video Streaming
11,googlevideo.com,Search Engines;Video Streaming
12,gvt2.com,Content Servers
13,facebook.com,Social Networks
14,apple.com,Information Technology;Technology
15,doubleclick.net,Advertisements
16,dzen.ru,News & Media;Video Streaming
17,yastatic.net,Technology
18,whatsapp.net,Instant Messengers;Internet Phone & VOIP
19,ytimg.com,Content Servers
20,mycdn.me,Content Servers
21,instagram.com,Photography;Social Networks
22,akadns.net,Content Servers
23,ok.ru,Social Networks;Video Streaming
24,google-analytics.com,Business;Technology
25,tiktokcdn.com,Content Servers;Social Networks
26,icloud.com,File Sharing
27,adriver.ru,Advertisements
28,apple-dns.net,Content Servers
29,cloudflare-dns.com,Content Servers
30,ggpht.com,Content Servers
31,imgsmail.ru,
32,googleusercontent.com,Content Servers
33,live.com,Technology;Webmail
34,akamaiedge.net,Content Servers
35,opera.com,Technology
36,akamai.net,Content Servers
37,ntp.org,Technology
38,tiktokv.com,Social Networks;Video Streaming
39,app-measurement.com,Content Servers
40,googletagmanager.com,Content Servers
41,wildberries.ru,Ecommerce
42,kaspersky.com,Technology
43,amazonaws.com,Technology
44,discord.com,Instant Messengers;Internet Phone & VOIP
45,google.ru,Search Engines
46,dzeninfra.ru,
47,avito.ru,Auctions & Marketplaces
48,2miners.com,
49,adfox.ru,Business
50,bing.com,Search Engines
51,spotify.com,Audio Streaming
52,wbbasket.ru,
53,skype.com,Instant Messengers;Internet Phone & VOIP
54,aaplimg.com,Information Technology;Content Servers;Technology
55,cloudflare.com,Technology
56,avito.st,Auctions & Marketplaces
57,mradx.net,Content Servers
58,msn.com,News & Media
59,one.one,Information Technology
60,lencr.org,Information Technology
61,buzzoola.com,Business
62,telegram.org,Instant Messengers
63,my.com,
64,wb.ru,Ecommerce
65,appsflyer.com,Business;Technology
66,ya.ru,Search Engines
67,kaspersky-labs.com,Technology
68,cloudfront.net,Content Servers;Science;Technology
69,tinkoff.ru,Economy & Finance
70,windowsupdate.com,Information Technology;Business
71,roblox.com,Gaming;Safe for Kids
72,tns-counter.ru,Business
73,office.com,Technology
74,viber.com,Instant Messengers;Internet Phone & VOIP
75,tiktokcdn-us.com,Content Servers
76,appcenter.ms,Technology
77,gvt1.com,Content Servers
78,rambler.ru,News & Media
79,msftncsi.com,Content Servers
80,ozon.ru,Ecommerce
81,fbcdn.net,Social Networks
82,googlesyndication.com,Search Engines;Advertisements
83,dns.google,Information Technology
84,pki.goog,Information Security
85,ttvnw.net,Video Streaming
86,otm-r.com,Business;Technology
87,msedge.net,Content Servers
88,appsflyersdk.com,Content Servers
89,sberbank.ru,Economy & Finance
90,ozone.ru,Content Servers
91,gboxlab.com,Information Technology
92,twitch.tv,Entertainment;Gaming;Video Streaming
93,unity3d.com,Gaming;Technology
94,steamstatic.com,Content Servers
95,weborama.fr,Business;Technology
96,adhigh.net,
97,digicert.com,Information Security
98,windows.com,Information Technology
99,steamcommunity.com,Forums;Gaming
100,cdn77.org,Content Servers
