rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,tiktokcdn.com,Content Servers;Social Networks
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,microsoft.com,Information Technology;Business
7,tiktokv.com,Social Networks;Video Streaming
8,apple.com,Information Technology;Technology
9,tiktokcdn-us.com,Content Servers
10,akamai.net,Content Servers
11,doubleclick.net,Advertisements
12,whatsapp.net,Instant Messengers;Internet Phone & VOIP
13,snapchat.com,Social Networks
14,gvt2.com,Content Servers
15,ttlivecdn.com,Content Servers
16,googlevideo.com,Search Engines;Video Streaming
17,akamaiedge.net,Content Servers
18,youtube.com,Video Streaming
19,instagram.com,Photography;Social Networks
20,akadns.net,Content Servers
21,fbcdn.net,Social Networks
22,apple-dns.net,Content Servers
23,cloudfront.net,Content Servers;Science;Technology
24,googlesyndication.com,Search Engines;Advertisements
25,cdn77.org,Content Servers
26,office.com,Technology
27,googleusercontent.com,Content Servers
28,icloud.com,File Sharing
29,azureedge.net,Content Servers
30,bytefcdn-oversea.com,
31,ytimg.com,Content Servers
32,app-measurement.com,Content Servers
33,cloudflare.com,Technology
34,aaplimg.com,Information Technology;Content Servers;Technology
35,ibyteimg.com,Content Servers
36,live.com,Technology;Webmail
37,google-analytics.com,Business;Technology
38,amazonaws.com,Technology
39,bing.com,Search Engines
40,wsxcloud.com,Newly Seen Domains
41,sc-cdn.net,Content Servers
42,googletagmanager.com,Content Servers
43,cloudflare-dns.com,Content Servers
44,applovin.com,Gaming
45,bytefcdn-ttpeu.com,Content Servers
46,google.com.sa,Search Engines
47,dns.google,Information Technology
48,spotify.com,Audio Streaming
49,worldfcdn2.com,Content Servers
50,gvt1.com,Content Servers
51,ntp.org,Technology
52,one.one,Information Technology
53,googleadservices.com,Advertisements
54,appsflyer.com,Business;Technology
55,twitter.com,Social Networks
56,msn.com,News & Media
57,office.net,Content Servers
58,azure.com,Technology
59,ggpht.com,Content Servers
60,amazon-adsystem.com,Advertisements
61,office365.com,Technology
62,microsoftonline.com,Technology
63,criteo.com,Business
64,yahoo.com,News & Media
65,sc-gw.com,Content Servers
66,pangle.io,Content Servers
67,linkedin.com,Professional Networking
68,rocket-cdn.com,Content Servers
69,netflix.com,Video Streaming
70,trafficmanager.net,Content Servers
71,fastly.net,Information Security;Information Technology;Technology
72,pki.goog,Information Security
73,skype.com,Instant Messengers;Internet Phone & VOIP
74,twimg.com,Content Servers
75,akamaized.net,Content Servers
76,roblox.com,Gaming;Safe for Kids
77,windows.com,Information Technology
78,rubiconproject.com,Advertisements
79,android.com,Technology
80,outlook.com,Webmail
81,gmail.com,Webmail
82,gboxlab.com,Information Technology
83,wsdvs.com,Content Servers
84,atomile.com,
85,adnxs.com,Content Servers
86,grammarly.io,Information Technology;Content Servers
87,digicert.com,Information Security
88,unity3d.com,Gaming;Technology
89,ampproject.org,Information Technology
90,grammarly.com,Information Technology
91,whatsapp.com,Instant Messengers;Internet Phone & VOIP
92,lencr.org,Information Technology
93,windowsupdate.com,Information Technology;Business
94,byteoversea.net,Content Servers
95,bigolive.tv,Video Streaming
96,amazon.com,Ecommerce
97,msftncsi.com,Content Servers
98,kaspersky.com,Technology
99,taboola.com,Business;Advertisements
100,shalltry.com,Content Servers
