rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,google.com,Search Engines
3,facebook.com,Social Networks
4,googleapis.com,Content Servers;Webmail
5,tiktokv.com,Social Networks;Video Streaming
6,gstatic.com,Content Servers
7,microsoft.com,Information Technology;Business
8,ttlivecdn.com,Content Servers
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,akamai.net,Content Servers
11,googleusercontent.com,Content Servers
12,gvt2.com,Content Servers
13,snapchat.com,Social Networks
14,googlevideo.com,Search Engines;Video Streaming
15,doubleclick.net,Advertisements
16,youtube.com,Video Streaming
17,fbcdn.net,Social Networks
18,apple.com,Information Technology;Technology
19,ytimg.com,Content Servers
20,instagram.com,Photography;Social Networks
21,app-measurement.com,Content Servers
22,akadns.net,Content Servers
23,googlesyndication.com,Search Engines;Advertisements
24,akamaiedge.net,Content Servers
25,ntp.org,Technology
26,cdn77.org,Content Servers
27,applovin.com,Gaming
28,amazonaws.com,Technology
29,ggpht.com,Content Servers
30,sc-cdn.net,Content Servers
31,appcenter.ms,Technology
32,cloudflare.com,Technology
33,appsflyer.com,Business;Technology
34,bytefcdn-oversea.com,
35,google.so,Search Engines
36,skype.com,Instant Messengers;Internet Phone & VOIP
37,apple-dns.net,Content Servers
38,googletagmanager.com,Content Servers
39,office.com,Technology
40,live.com,Technology;Webmail
41,bytefcdn-ttpeu.com,Content Servers
42,android.com,Technology
43,vungle.com,Business;Technology
44,amazon-adsystem.com,Advertisements
45,bing.com,Search Engines
46,pangle.io,Content Servers
47,tiktokcdn-us.com,Content Servers
48,whatsapp.com,Instant Messengers;Internet Phone & VOIP
49,cloudflare-dns.com,Content Servers
50,igamecj.com,Content Servers
51,icloud.com,File Sharing
52,aaplimg.com,Information Technology;Content Servers;Technology
53,v-mate.mobi,Gaming
54,crashlytics.com,Information Technology
55,gvt1.com,Content Servers
56,isnssdk.com,Content Servers
57,msn.com,News & Media
58,google-analytics.com,Business;Technology
59,cloudfront.net,Content Servers;Science;Technology
60,rubiconproject.com,Advertisements
61,office.net,Content Servers
62,samsungcloud.com,Content Servers
63,inmobi.com,Business
64,dns.google,Information Technology
65,unity3d.com,Gaming;Technology
66,appsflyersdk.com,Content Servers
67,office365.com,Technology
68,samsungapps.com,Technology
69,twimg.com,Content Servers
70,rocket-cdn.com,Content Servers
71,akamaized.net,Content Servers
72,grammarly.com,Information Technology
73,twitter.com,Social Networks
74,byteoversea.com,Content Servers
75,samsung.com,Home & Garden;Technology
76,netflix.com,Video Streaming
77,atomile.com,
78,fbsbx.com,Content Servers
79,wsdvs.com,Content Servers
80,ibyteimg.com,Content Servers
81,kzhi.tech,Content Servers
82,byteoversea.net,Content Servers
83,tdatamaster.com,
84,linkedin.com,Professional Networking
85,grammarly.io,Information Technology;Content Servers
86,ovscdns.net,Content Servers
87,supersonicads.com,Gaming
88,byteglb.com,
89,pki.goog,Information Security
90,googleadservices.com,Advertisements
91,yahoo.com,News & Media
92,flurry.com,Business;Technology
93,rocket-cdnbp.com,
94,pitaya-clientai.com,
95,imotech.tech,Content Servers
96,yandex.net,News & Media
97,qlivecdn.com,
98,mtgglobals.com,Content Servers
99,fastly.net,Information Security;Information Technology;Technology
100,pubmatic.com,Business;Technology
